Type,EntryTime,ExitTime,EntryPrice,ExitPrice,PnL,ReturnPct,Duration
Short,2024-05-02,2024-05-03,33.28810119628906,34.95250625610352,-150014.49244613672,-5.000000000000009,1 days
Long,2024-05-10,2024-05-10,35.08065414428711,33.32662143707275,-142213.46383552562,-5.0000000000000036,0 days
Short,2024-05-15,2024-05-15,31.568510055541992,33.14693555831909,-134833.8417237283,-5.000000000000004,0 days
Long,2024-05-22,2024-05-23,41.16374206542969,39.1055549621582,-127821.65186157235,-5.0000000000000036,1 days
Short,2024-06-01,2024-07-03,36.05585479736328,28.642305374145508,498361.0328769684,20.561291543030944,32 days
Long,2024-07-03,2024-07-03,28.642305374145508,27.210510826110838,-145831.13830642722,-4.998880255383022,0 days
Short,2024-07-11,2024-07-15,25.7673282623291,27.056049156188966,-138333.8781887055,-5.00137569848065,4 days
Long,2024-07-18,2024-07-31,27.251876831054688,25.890591239929197,-130977.45443573018,-4.995199411639226,13 days
Short,2024-08-01,2024-08-22,25.71908950805664,23.527414321899414,211856.09019470215,8.521589325588968,21 days
Long,2024-08-22,2024-08-30,23.527414321899414,22.351043605804442,-134649.7449056627,-5.000000000000006,8 days
Short,2024-09-04,2024-09-08,21.383655548095703,22.45283832550049,-127661.49280490901,-5.00000000000001,4 days
Long,2024-09-14,2024-09-16,24.95267677307129,23.704658794403073,-121061.48798475294,-5.001539474174033,2 days
Short,2024-10-05,2024-10-07,26.24127960205078,27.55334358215332,-114741.3071239472,-5.000000000000003,2 days
Long,2024-10-15,2024-10-16,29.062816619873047,27.609675788879393,-108774.85690402995,-5.000000000000005,1 days
Short,2024-10-26,2024-10-28,24.892988204956055,26.137637615203857,-103129.16083431244,-5.0,2 days
Long,2024-11-11,2024-12-17,31.9826717376709,48.99325942993164,1039976.299741745,53.186887674004936,36 days
Short,2024-12-17,2025-01-07,48.99325942993164,44.09754943847656,298711.7451286316,9.992619491782829,21 days
Long,2025-01-07,2025-01-07,44.09754943847656,41.89254512786865,-164111.85582561503,-5.000287632046902,0 days
Short,2025-01-15,2025-01-15,36.50262451171875,38.32746334075928,-155560.21082038904,-4.999198971171748,0 days
Long,2025-01-23,2025-01-23,36.75145721435547,34.91388435363769,-147496.46081123388,-5.0000000000000115,0 days
Short,2025-01-27,2025-02-20,35.855472564697266,23.72795867919922,945982.4656105042,33.82332742544469,24 days
Long,2025-02-20,2025-02-23,23.72795867919922,25.816495895385742,328952.9656982422,8.802009664731127,3 days
Short,2025-02-23,2025-03-22,25.816495895385742,19.154354095458984,1047215.4073886871,25.80575546318624,27 days
Long,2025-03-22,2025-04-02,19.154354095458984,18.196623706817626,-254862.59145174065,-5.000066219243658,11 days
Short,2025-04-05,2025-04-11,18.181718826293945,19.090804767608642,-241632.3159436224,-4.9999999999999964,6 days
